Time (ms),Voltage (V)
0.0,-4.999847412109375
0.0015,5.0
0.003,5.0
0.0045,5.0
0.006,5.0
0.0075,5.0
0.009,5.0
0.0105,5.0
0.012,5.0
0.0135,5.0
0.015,5.0
0.0165,5.0
0.018,5.0
0.0195,5.0
0.021,5.0
0.0225,5.0
0.024,5.0
0.0255,5.0
0.027,5.0
0.0285,5.0
0.03,5.0
0.0315,5.0
0.033,5.0
0.0344999999999999,5.0
0.036,5.0
0.0375,5.0
0.039,5.0
0.0405,5.0
0.042,5.0
0.0435,5.0
0.045,5.0
0.0465,5.0
0.048,5.0
0.0495,5.0
0.051,5.0
0.0525,5.0
0.054,5.0
0.0555,5.0
0.057,5.0
0.0584999999999999,5.0
0.06,5.0
0.0615,5.0
0.063,5.0
0.0645,5.0
0.066,5.0
0.0675,5.0
0.0689999999999999,5.0
0.0705,5.0
0.072,5.0
0.0735,5.0
0.075,5.0
0.0765,5.0
0.078,5.0
0.0795,5.0
0.081,5.0
0.0825,5.0
0.084,5.0
0.0855,5.0
0.087,5.0
0.0885,5.0
0.09,5.0
0.0915,5.0
0.093,5.0
0.0945,5.0
0.096,5.0
0.0975,5.0
0.099,5.0
0.1005,5.0
0.102,5.0
0.1035,5.0
0.105,5.0
0.1065,5.0
0.108,5.0
0.1095,5.0
0.111,5.0
0.1125,5.0
0.114,5.0
0.1155,5.0
0.1169999999999999,5.0
0.1185,5.0
0.12,5.0
0.1215,5.0
0.123,5.0
0.1244999999999999,5.0
0.126,5.0
0.1275,5.0
0.129,5.0
0.1305,5.0
0.132,5.0
0.1334999999999999,5.0
0.135,5.0
0.1365,5.0
0.1379999999999999,5.0
0.1395,5.0
0.141,5.0
0.1425,5.0
0.144,5.0
0.1455,5.0
0.147,5.0
0.1485,5.0
0.15,5.0
101.697,5.0
101.6985,5.0
101.7,5.0
101.7015,5.0
101.703,5.0
101.7045,5.0
101.706,5.0
101.7075,5.0
101.709,5.0
101.7105,5.0
101.712,5.0
101.7135,5.0
101.715,5.0
101.7165,5.0
101.718,5.0
101.7195,5.0
101.721,5.0
101.7225,5.0
101.724,5.0
101.7255,5.0
101.727,5.0
101.7285,5.0
101.73,5.0
101.7315,5.0
101.733,5.0
101.7345,5.0
